gene,importance
FCGR2A,0.0007027406388893152
UCP2,0.000699154514702464
PCLAF,0.0006733712995718714
H1FX,0.0006700950078425811
LTF,0.0006262654522073879
ZEB2,0.0006118831900021689
HIST3H2A,0.0006113559138308219
BANK1,0.0006045550005915628
HSPA1A,0.0005922008579090967
KLF6,0.0005861384366224891
HBD,0.0005357690281037097
KLRC2,0.000514421107105736
MX1,0.0005124642467058045
YBX3,0.0005121719867159834
HIST1H4C,0.0005024681779301416
MS4A7,0.0004974742953705967
MAX,0.00048775758002269146
CD9,0.0004671091260204849
COTL1,0.00046608913066901396
CFL1,0.00046523189955540145
SLA2,0.0004588628359764318
HSPA5,0.000457330051782673
ITGA6,0.00043572647898184024
TSPYL2,0.00043540335203287096
LYL1,0.00042808795754562993
SMIM5,0.0004235335179296382
HAPLN3,0.0004062678691826281
SOCS3,0.0004002468163455954
MMP9,0.0003956148488553424
HBG2,0.00039028114848170694
CMTM5,0.00036756694591862934
EMP3,0.0003665230339986229
HPGD,0.0003430391495210707
TGFB1,0.00033889212040580456
ARPC1B,0.0003378671400699534
CDT1,0.0003373993397261591
HLA-DRB1,0.00033207489610734514
TSHZ2,0.0003208407762547841
BPGM,0.00031587319089038574
NELL2,0.00031194581917286246
AHSP,0.0003093768020023634
S100A9,0.0003088898679574418
GNG8,0.00030540798980485944
S100A6,0.00030532124215591034
LGALSL,0.0003016633873832643
NEAT1,0.00029741318942436227
HIST1H1C,0.0002904530789644791
GNG11,0.00028200439873531205
CLDN5,0.00028154558263144495
HSP90B1,0.00027499974346414675
HLA-DRA,0.0002728357073885542
RGL4,0.0002723451976404683
TREML1,0.0002616112988684901
HPSE,0.0002556768531436226
PDK1,0.0002506404645047679
HMGA1,0.00024753805840712235
MYL9,0.0002455465346188532
CCL5,0.000243802947404774
BNIP3L,0.00023855022279366833
FPR1,0.0002363184148305101
UBE2J1,0.00023535064708764185
SRGN,0.00022934058395492968
CRIP2,0.00022525911579062262
PARD6G,0.00022447472808791508
PPIB,0.0002219215904123923
PSMB9,0.00021678689188089721
SLC25A39,0.00021003021129993604
SNCA,0.00020556701584835665
ATP6V0B,0.0002029785849331454
MIR181A1HG,0.00019956534775137174
ARID5B,0.00019735453273225076
HLA-DPB1,0.00019637226653910697
ANK3,0.00019474385777671296
SLC2A3,0.00018992406801314398
FKBP1A,0.0001829745971119909
AL157895.1,0.00018076941193595985
SAMSN1,0.00017871478605449773
GJB6,0.00017845020909913926
GZMB,0.000174754891740328
ETS2,0.00016768892104453397
FTL,0.00016719426406789503
IGHG2,0.00016439039516772145
RGCC,0.00016424098955804245
MARCO,0.0001632506118916863
SH3BGRL3,0.0001616899798623893
LINC01003,0.00016139830749279006
CALHM6,0.00016075271425290474
LPL,0.0001554966436467846
ANXA3,0.00015332152349154188
IFITM3,0.00015236478765721137
PFN1,0.0001515446145799605
