gene,correlation,pvalue,abs_correlation
TSHZ2,-0.395384047437178,0.0,0.395384047437178
CDA,0.39532504683873504,0.0,0.39532504683873504
PLIN3,0.39494272638638567,0.0,0.39494272638638567
PIK3AP1,0.3949209396806004,0.0,0.3949209396806004
RNF130,0.39471687060258287,0.0,0.39471687060258287
PGAM1,0.39378974983896037,0.0,0.39378974983896037
RPL27,-0.3929472836486116,0.0,0.3929472836486116
CXCR4,-0.3926724708552422,0.0,0.3926724708552422
VIM,0.39234446988201915,0.0,0.39234446988201915
SLC15A3,0.3922385652088067,0.0,0.3922385652088067
TNFSF13B,0.39203169516389996,0.0,0.39203169516389996
PTGER2,0.39170002083813976,0.0,0.39170002083813976
BCAP31,0.391547092839922,0.0,0.391547092839922
PTP4A2,0.39142361138408194,0.0,0.39142361138408194
IGSF6,0.3909884512813287,0.0,0.3909884512813287
PDCD4,-0.3908684271677745,0.0,0.3908684271677745
PILRA,0.39073240715890767,0.0,0.39073240715890767
TOMM20,-0.3888421461968766,0.0,0.3888421461968766
RTN4,0.3870027957510298,0.0,0.3870027957510298
VAMP8,0.3868733186141684,0.0,0.3868733186141684
SH3BP2,0.38685371116372175,0.0,0.38685371116372175
SLC31A2,0.38636210123819836,0.0,0.38636210123819836
B3GNT5,0.3863319581010374,0.0,0.3863319581010374
PPP1CA,0.3848219903182558,0.0,0.3848219903182558
CD302,0.3848133340658586,0.0,0.3848133340658586
ATP6AP1,0.3833688014955303,0.0,0.3833688014955303
MCEMP1,0.3828762179678852,0.0,0.3828762179678852
GLIPR2,0.38278743641236557,0.0,0.38278743641236557
CD93,0.3827173606901918,0.0,0.3827173606901918
MTPN,0.382360861312843,0.0,0.382360861312843
SYK,0.38180163080024415,0.0,0.38180163080024415
CD6,-0.3809284982782927,0.0,0.3809284982782927
ALDH2,0.3808067415667166,0.0,0.3808067415667166
STK17A,-0.38063913459873283,0.0,0.38063913459873283
RGS19,0.380594004338171,0.0,0.380594004338171
COMMD6,-0.3802242416527181,0.0,0.3802242416527181
CORO1C,0.3799785533831998,0.0,0.3799785533831998
C15orf39,0.37959209488533796,0.0,0.37959209488533796
LILRB3,0.37948603265167746,0.0,0.37948603265167746
TREM1,0.37930921342853996,0.0,0.37930921342853996
ARF3,0.37916952326870224,0.0,0.37916952326870224
GAS7,0.37884217162836037,0.0,0.37884217162836037
MAP2K3,0.37883464232375885,0.0,0.37883464232375885
PTPN6,0.3785483885654014,0.0,0.3785483885654014
ANXA1,0.3782707487190998,0.0,0.3782707487190998
TRAPPC1,0.37710907778127706,0.0,0.37710907778127706
TKT,0.3763516051396837,0.0,0.3763516051396837
GSN,0.3762303178881475,0.0,0.3762303178881475
GPX4,0.37622973896557405,0.0,0.37622973896557405
LAMTOR1,0.3761244960894193,0.0,0.3761244960894193
CNPY3,0.3756162578407375,0.0,0.3756162578407375
IQGAP1,0.37544422229332114,0.0,0.37544422229332114
ARL4C,-0.37534559874516116,0.0,0.37534559874516116
TCIRG1,0.3749806334873623,0.0,0.3749806334873623
IMPA2,0.37467828762859656,0.0,0.37467828762859656
CD151,0.37448082576337505,0.0,0.37448082576337505
RNASE2,0.37439255923947323,0.0,0.37439255923947323
RASSF2,0.3741403900535461,0.0,0.3741403900535461
LAMTOR2,0.37409492356234864,0.0,0.37409492356234864
RPS4Y1,-0.37388237507637584,0.0,0.37388237507637584
CTNNA1,0.3737624601496972,0.0,0.3737624601496972
RILPL2,0.37262724177087925,0.0,0.37262724177087925
ITGAM,0.3724962821658514,0.0,0.3724962821658514
LPCAT2,0.37241011379062694,0.0,0.37241011379062694
CD48,-0.372278481023739,0.0,0.372278481023739
P2RX1,0.3719621243005159,0.0,0.3719621243005159
IFI27L2,0.37161503416177577,0.0,0.37161503416177577
SKAP2,0.37131919152438214,0.0,0.37131919152438214
MGST1,0.37087362006138525,0.0,0.37087362006138525
NCOA4,0.3708246672189243,0.0,0.3708246672189243
ANKRD12,-0.3694384565926778,0.0,0.3694384565926778
FCGR1A,0.3693546655824995,0.0,0.3693546655824995
NRIP1,0.36869206008079464,0.0,0.36869206008079464
CCR1,0.36833467628640865,0.0,0.36833467628640865
SMOX,0.3678217879116352,0.0,0.3678217879116352
ITK,-0.36777519882258547,0.0,0.36777519882258547
MARCH1,0.36691582706296505,0.0,0.36691582706296505
TMEM176B,0.36635016445114926,0.0,0.36635016445114926
CHMP2A,0.3657452118556974,0.0,0.3657452118556974
ROGDI,0.3652232920806849,0.0,0.3652232920806849
S100A10,0.36517797435753796,0.0,0.36517797435753796
MTSS1,0.3651387298041766,0.0,0.3651387298041766
COMT,0.36485018015718984,0.0,0.36485018015718984
SNX10,0.3644856667827705,0.0,0.3644856667827705
RGS18,0.36421679274970553,0.0,0.36421679274970553
SLC30A1,0.36420700732179173,0.0,0.36420700732179173
AC245128.3,0.36323269569716404,0.0,0.36323269569716404
SBDS,-0.3630093649499685,0.0,0.3630093649499685
MGAT1,0.3626957539470757,0.0,0.3626957539470757
CYP1B1,0.3626656561673094,0.0,0.3626656561673094
LILRB4,0.362566021137157,0.0,0.362566021137157
ANPEP,0.36233200840431495,0.0,0.36233200840431495
NFIL3,0.3618544794907815,0.0,0.3618544794907815
SRSF7,-0.36183837134278035,0.0,0.36183837134278035
EHBP1L1,0.36176740721213946,0.0,0.36176740721213946
LAIR1,0.36081697979722815,0.0,0.36081697979722815
CD300E,0.3603061676872186,0.0,0.3603061676872186
TRAC,-0.35989134606864853,0.0,0.35989134606864853
ATP5MF,0.3598862818586694,0.0,0.3598862818586694
RSU1,0.3595437340391647,0.0,0.3595437340391647
B4GALT5,0.3589292308071006,0.0,0.3589292308071006
BEX2,-0.3588149397732245,0.0,0.3588149397732245
TNFRSF1B,0.35785606086110144,0.0,0.35785606086110144
PLXDC2,0.35773454732026894,0.0,0.35773454732026894
RNF125,-0.3577119301507453,0.0,0.3577119301507453
QSOX1,0.35768498265607906,0.0,0.35768498265607906
TUBA1B,0.3570763590724958,0.0,0.3570763590724958
CHP1,0.3565795668930956,0.0,0.3565795668930956
C12orf57,-0.35599121739738787,0.0,0.35599121739738787
HINT1,-0.3556469029351161,0.0,0.3556469029351161
ADAM9,0.3554456892229222,0.0,0.3554456892229222
PRRC2C,-0.3554043504513708,0.0,0.3554043504513708
OCIAD2,-0.355042550961925,0.0,0.355042550961925
TXNDC17,0.3548328112434556,0.0,0.3548328112434556
ACTR2,0.3547228963242695,0.0,0.3547228963242695
C3AR1,0.35452888727120857,0.0,0.35452888727120857
ITGB1,0.35452693480011943,0.0,0.35452693480011943
ALOX5,0.3535935699350994,0.0,0.3535935699350994
CNIH4,0.3529307280341325,0.0,0.3529307280341325
PHC2,0.3524531906058553,0.0,0.3524531906058553
RXRA,0.35216623479518366,0.0,0.35216623479518366
ACTN1,0.3520138641034026,0.0,0.3520138641034026
NCKAP1L,0.3516650882444653,0.0,0.3516650882444653
MYO1F,0.35130294308575016,0.0,0.35130294308575016
ACTG1,0.3506560613681212,0.0,0.3506560613681212
SLC2A3,0.35062501838720467,0.0,0.35062501838720467
PTAFR,0.35032877286594954,0.0,0.35032877286594954
HNMT,0.3501754944250352,0.0,0.3501754944250352
