gene,rank,priority_score,log2fc,de_padj,de_score,shap_importance,centrality_score,trajectory_score,druggability_score,de_score_norm,shap_importance_norm,centrality_score_norm,trajectory_score_norm,druggability_score_norm
RPS12,20,0.15136450595185177,0.62095857,8.657956809792868e-76,46.610755184402514,0.0,0,0.7217474520814771,0.0,0.015586366141384379,5.757906887061959e-19,0.0,0.9831194294433712,0.0
IL32,21,0.15127092292198596,1.6054715,3.209542486514473e-207,331.51952048992644,0.0104677030583051,0,0.5385963626758707,0.0,0.11085820448370001,0.05404003404016226,0.0,0.733642421940136,0.0
RPS3,22,0.1509100792044758,0.53283125,3.706351200496685e-21,10.886303738395595,0.0,0,0.7341401567967389,0.0,0.00364031681790333,5.757906887061959e-19,0.0,0.9999999999999999,0.0
FTH1,23,0.15018025479549058,-0.53359497,2.7343253272694147e-246,131.03126155852016,0.005280397988724,0,0.6480556284132912,0.0,0.043816093743574876,0.02726031541655642,0.0,0.8827410167030518,0.0
RPS15A,24,0.149574539208266,0.583245,2.619980413969966e-38,21.919339756917353,0.0,0,0.7230894591966367,0.0,0.007329700059076538,5.757906887061959e-19,0.0,0.9849474279566458,0.0
RPL23A,25,0.14929965957395694,0.8912397,5.717857619662936e-277,246.19852048808713,0.0,0,0.629979471923436,0.0,0.08232735703622647,5.757906887061959e-19,0.0,0.8581188020993354,0.0
CMTM5,26,0.14887987309641,-4.356945,1.6890293687664078e-250,1088.2444472347247,0.0003675669459186,0,0.2810769133644811,0.0,0.3639026301724637,0.0018975825124997235,0.0,0.3828654661677943,0.0
RPS4X,27,0.14766291508195567,0.638041,2.317361115238018e-83,52.72452204487524,0.0,0,0.7011294051777169,0.0,0.017630774313133497,5.757906887061959e-19,0.0,0.9550348100244819,0.0
RPL13,28,0.14739092859239455,0.7923025,3.4364948141401586e-119,93.85923169624884,0.0,0,0.6829678125421509,0.0,0.03138598259519955,5.757906887061959e-19,0.0,0.9302962196239646,0.0
RPS14,29,0.14677532977042723,0.6060646,1.3008184217645019e-42,25.385490514352917,0.0,0,0.7079711904786787,0.0,0.008488760764977864,5.757906887061959e-19,0.0,0.9643542638612185,0.0
FCER1G,30,0.1466729970487154,-0.5688562,2.2814172981542207e-58,32.78989261839632,8.933487074113849e-05,0,0.7038765045692932,0.0,0.010964749875110896,0.00046119568246582514,0.0,0.9587767377288082,0.0
RPL30,31,0.14656389940852754,0.7413534,1.8750683594303722e-66,48.72692224062321,0.0,0,0.6973861609342633,0.0,0.016294000128950163,5.757906887061959e-19,0.0,0.9499359958419333,0.0
RPL34,32,0.1464494200704442,0.810922,5.9687617098196e-41,32.61862039956066,0.0,0,0.7034166394268826,0.0,0.010907477438694479,5.757906887061959e-19,0.0,0.9581503380718039,0.0
TYMP,33,0.14620906672155098,1.2614337,2.709496937861472e-284,357.701110450213,0.0021415539895086,0,0.555703980821315,0.0,0.11961317628516902,0.01105587824255961,0.0,0.7569453539307923,0.0
RPS5,34,0.14620460786001854,0.8848558,1.068295654860488e-266,235.3462549934681,0.0,0,0.6192717046460187,0.0,0.07869842240958377,5.757906887061959e-19,0.0,0.8435333483841507,0.0
OAZ1,35,0.14596512972804235,-0.17939763,1.0,-0.0,0.0019731746757168,0,0.7019284202951983,0.0,0.0,0.010186611718826049,0.0,0.9561231786555723,0.0
RPL5,36,0.14546980728413048,0.65507334,4.167599858466868e-49,31.6925228579904,0.0,0,0.6990010684162807,0.0,0.01059779579315057,5.757906887061959e-19,0.0,0.9521357222389523,0.0
RPL14,37,0.14484110437026762,0.65668505,2.1734856404561704e-25,16.19572043616234,0.0,0,0.7022646018258614,0.0,0.005415754961335617,5.757906887061959e-19,0.0,0.9565811041995582,0.0
RPS3A,38,0.1445793718364319,0.5948405,1.5346845843312526e-31,18.329403787273776,0.0,0,0.7001106083354622,0.0,0.0061292462962996026,5.757906887061959e-19,0.0,0.9536470684157133,0.0
RPL10,39,0.14446109031576257,0.5675758,1.1491691027348334e-48,27.209365936510807,0.0,0,0.6958984376921229,0.0,0.009098654125717441,5.757906887061959e-19,0.0,0.9479095118955547,0.0
RPSA,40,0.1443269576742433,0.763466,2.3148851042263492e-147,111.95119616629526,0.0,0,0.6605695247163843,0.0,0.03743583056122056,5.757906887061959e-19,0.0,0.8997866668929212,0.0
RPL11,41,0.14427175953509158,0.83539873,1.7319906666067954e-113,94.2007758426958,0.0,0,0.6675620200914598,0.0,0.03150019297644972,5.757906887061959e-19,0.0,0.9093114086065277,0.0
RPS18,42,0.1442542204917453,0.94849133,5.306639006333071e-140,132.1013011457808,0.0,0,0.6519690398130066,0.0,0.044173908774179683,5.757906887061959e-19,0.0,0.8880716219880026,0.0
RPL3,43,0.14380942385199572,0.5260843,3.552757789365313e-09,4.445114781559733,0.0,0,0.702023084754016,0.0,0.001486420596529066,5.757906887061959e-19,0.0,0.9562521246857564,0.0
RPS23,44,0.1435947504643569,1.0010176,1.1463761237376349e-227,227.1716076965382,0.0,0,0.6098430509080671,0.0,0.0759648677751962,5.757906887061959e-19,0.0,0.8306902234703857,0.0
RPL19,45,0.14255216733699388,0.83207214,1.221762491958628e-139,115.58564817700409,0.0,0,0.6503961762483907,0.0,0.038651170229889016,5.757906887061959e-19,0.0,0.8859291651968108,0.0
F13A1,46,0.14197436382530154,-3.9865,8.51376827304431e-243,965.011569342983,3.148387756622885e-05,0,0.2998236323445502,0.0,0.3226942706880856,0.00016253707292980836,0.0,0.40840107923365127,0.0
RPS6,47,0.14105939029035003,0.66847885,1.3318155233575345e-32,21.30813496943909,0.0,0,0.6816641174746888,0.0,0.0071253167237859075,5.757906887061959e-19,0.0,0.9285204073960237,0.0
EEF1A1,48,0.14098863996853656,0.5226199,3.86570773987373e-07,3.351441729935242,0.0,0,0.6886648936275006,0.0,0.0011207026725403816,5.757906887061959e-19,0.0,0.9380564286693431,0.0
H3F3A,49,0.1404745912564903,-0.31420675,3.3364964160342023e-76,23.715291541573734,0.0001129687524419,0,0.6771034649602458,0.0,0.0079302559174226,0.0005832067640275059,0.0,0.9223081705741851,0.0
TIMP1,50,0.14036400780179226,-0.89805293,5.026488865485678e-122,108.93268461913648,2.9157745434991554e-05,0,0.6422246407765957,0.0,0.03642645781044914,0.00015052830091422806,0.0,0.8747984084930095,0.0
