gene,correlation,pvalue,abs_corr
AC110792.3,0.008086325941388452,0.09914496751985566,0.008086325941388452
C1orf109,0.00808604237213262,0.09915681512670724,0.00808604237213262
AC002116.2,0.008083071621039536,0.09928100190894623,0.008083071621039536
SC5D,0.00808226419220804,0.09931477642589956,0.00808226419220804
AHRR,0.008080982564379184,0.09936840537546186,0.008080982564379184
HK2,-0.00808001757816768,0.09940879989178705,0.00808001757816768
AL021392.1,0.00807991128137035,0.09941325029797253,0.00807991128137035
APC2,0.008079610653447073,0.0994258377688332,0.008079610653447073
AL365361.1,-0.008077790618128423,0.09950207088963443,0.008077790618128423
PIR,-0.00807737644439397,0.09951942528203171,0.00807737644439397
TMC7,0.008076045409829941,0.09957521362822176,0.008076045409829941
EPB41L4A-DT,0.008074856148043543,0.09962508087831944,0.008074856148043543
ATP6V1FNB,0.008073459097406822,0.09968368642086665,0.008073459097406822
FABP4,-0.008069981127696805,0.09982970487378713,0.008069981127696805
CU638689.4,-0.008069749459043126,0.09983943726524834,0.008069749459043126
Z82249.1,0.00806885904038552,0.09987685076312695,0.00806885904038552
GOLGA6L10,-0.008063971664992117,0.10008240703295218,0.008063971664992117
SEPT12,0.008063112467349625,0.10011857853900769,0.008063112467349625
APOBEC3D,0.008062774074172078,0.1001328274709668,0.008062774074172078
STK26,0.008062522510246558,0.10014342127734711,0.008062522510246558
LINC01126,0.008062433666425495,0.100147162862907,0.008062433666425495
AC011455.1,0.008061696630144976,0.10017820684660304,0.008061696630144976
C2orf66,-0.008060014715239637,0.10024907786839635,0.008060014715239637
RGL3,0.008059285982027438,0.1002797969831415,0.008059285982027438
AL390763.1,0.0080578629152843,0.10033980675875033,0.0080578629152843
EDDM3A,0.008056036843048129,0.10041685293802236,0.008056036843048129
TOR1AIP2,0.008055540670612222,0.10043779573721882,0.008055540670612222
AL354694.1,0.008055351994232515,0.10044576043768151,0.008055351994232515
AL353803.1,0.008054296117794346,0.10049034202643828,0.008054296117794346
TMEM171,0.00805422777842578,0.10049322801876491,0.00805422777842578
MEI4,-0.008053457406262381,0.1005257656394558,0.008053457406262381
METAP1D,0.008053339988868787,0.10053072564555812,0.008053339988868787
AL357556.4,0.008051155276555,0.1006230489723745,0.008051155276555
ZNF658,-0.008049598404243533,0.10068888175516436,0.008049598404243533
C17orf49,0.008047762071400053,0.1007665757174017,0.008047762071400053
AL022326.1,0.008046891003631035,0.10080344668801645,0.008046891003631035
ZNF573,0.008045315197383556,0.10087017547724662,0.008045315197383556
PXT1,0.008045191409217615,0.10087541887779156,0.008045191409217615
HIST1H2AL,-0.008043755590978073,0.10093625292010797,0.008043755590978073
IGFL2,0.00804165207716604,0.10102542926365687,0.00804165207716604
BRS3,0.008037211653649096,0.10121388262100914,0.008037211653649096
PTGDS,0.008036814946451436,0.10123073265000351,0.008036814946451436
